repository,pr_number,author,primary_reviewer,first_review_latency_hours,time_to_merge_hours,first_review_state,inline_comment_density,total_discussion_volume,loc_changed,prior_prs,acceptance_rate,formal_reviews,experience_category
freeCodeCamp/freeCodeCamp,65678,anastasiiauk,Sembauke,49.63,49.63,APPROVED,0.0,1,325,74,0.96,28,Core Reviewer
freeCodeCamp/freeCodeCamp,65675,ShaunSHamilton,ojeytonwilliams,4.13,533.7,CHANGES_REQUESTED,0.0307,4,163,141,0.89,269,Core Reviewer
freeCodeCamp/freeCodeCamp,65671,huyenltnguyen,raisedadead,6.99,7.34,APPROVED,0.0,1,14,272,0.88,1490,Core Reviewer
freeCodeCamp/freeCodeCamp,65670,huyenltnguyen,raisedadead,39.88,39.89,APPROVED,0.0,2,55,272,0.88,1490,Core Reviewer
freeCodeCamp/freeCodeCamp,65669,ojeytonwilliams,ShaunSHamilton,0.07,7.35,COMMENTED,0.0476,3,21,608,0.94,500,Core Reviewer
freeCodeCamp/freeCodeCamp,65667,huyenltnguyen,raisedadead,10.7,12.75,APPROVED,0.0,5,61,272,0.88,1490,Core Reviewer
freeCodeCamp/freeCodeCamp,65666,Jeevankumar-s,majestic-owl448,0.77,233.68,COMMENTED,1.5,7,2,74,0.88,16,Core Reviewer
freeCodeCamp/freeCodeCamp,65665,ojeytonwilliams,raisedadead,23.41,41.91,APPROVED,0.0043,1,460,608,0.94,500,Core Reviewer
freeCodeCamp/freeCodeCamp,65663,camperbot,majestic-owl448,0.82,0.82,APPROVED,0.0,1,2,391,0.98,0,Reliable Author
freeCodeCamp/freeCodeCamp,65662,a2937,majestic-owl448,0.02,0.94,COMMENTED,0.5,2,2,213,0.82,344,Core Reviewer
freeCodeCamp/freeCodeCamp,65660,ojeytonwilliams,raisedadead,0.49,0.49,APPROVED,0.0,1,5,608,0.94,500,Core Reviewer
freeCodeCamp/freeCodeCamp,65657,camperbot,majestic-owl448,49.31,49.31,APPROVED,0.0,1,33784,391,0.98,0,Reliable Author
